Salary,Gender,Grade,Experience
865.38,0,2,7.5
819.90,0,4,2.5
675.00,0,2,7.5
1494.24,1,8,7.5
729.72,1,4,2.5
709.50,0,2,7.5
692.31,0,2,5.5
722.64,0,3,2.5
726.93,0,2,4.0
692.31,0,2,7.5
1142.31,1,6,2.5
1413.45,1,8,2.5
795.00,0,3,7.5
825.00,1,3,7.5
867.00,0,4,2.5
778.86,0,3,2.5
1057.38,1,5,2.5
705.57,0,1,7.5
1052.31,1,7,2.5
735.00,0,2,2.5
780.00,0,2,7.5
1254.81,1,7,2.5
1263.99,1,7,25.0
692.31,0,2,3.5
946.17,0,6,12.5
1409.85,1,8,25.0
747.00,0,2,7.5
789.00,0,2,12.5
1110.00,1,7,7.5
923.10,0,5,2.5
692.31,0,2,1.0
648.00,0,1,6.5
1067.31,0,7,7.5
870.00,1,5,12.5
882.48,0,5,12.5
885.00,1,3,7.5
909.00,1,3,2.5
1035.42,0,7,2.5
657.69,0,1,11.0
859.62,1,4,7.5
616.17,0,2,4.0
924.00,0,6,12.5
928.86,1,5,7.5
761.55,0,3,3.0
1223.10,1,7,12.5
907.20,1,4,17.5
1119.24,1,7,22.5
1050.00,0,4,2.5
1500.00,1,7,22.5
739.62,1,5,3.5
1182.72,0,8,2.5
990.00,0,5,12.5
1368.24,1,7,25.0
1384.62,1,8,2.5
834.00,0,3,2.5
1263.48,1,7,25.0
1153.86,1,6,25.0
1263.48,1,7,25.0
813.60,0,5,7.5
825.00,1,3,7.5
840.00,0,3,25.0
692.31,0,2,1.5
836.55,0,3,4.5
813.48,0,4,2.5
963.45,0,7,12.5
747.00,0,2,12.5
915.57,0,6,2.5
951.93,0,3,7.5
830.76,1,3,2.5
853.83,0,3,7.5
660.45,0,2,4.5
1174.14,1,6,2.5
1056.60,1,6,17.5
1230.00,1,7,7.5
628.26,0,1,5.0
761.55,0,2,8.0
885.00,0,5,2.5
865.38,0,4,0.5
1176.93,1,5,17.5
825.00,0,3,7.5
848.10,0,3,7.5
681.93,0,1,4.0
1240.41,1,7,25.0
1518.75,1,7,25.0
729.72,0,4,0.5
1500.00,1,8,16.5
805.83,1,5,2.0
813.48,0,2,7.5
801.00,1,3,2.5
894.24,0,4,0.5
825.00,0,4,2.5
892.50,0,5,7.5
687.00,0,2,12.5
796.17,0,3,2.5
702.00,0,2,6.0
788.04,0,1,2.5
1110.00,1,7,7.5
778.86,0,1,22.5
795.00,0,2,12.5
780.24,0,2,0.5
819.24,1,3,12.5
1228.86,1,8,22.5
810.00,0,5,2.5
630.00,0,1,1.0
729.72,0,4,2.5
1065.00,1,7,2.5
816.00,0,3,7.5
1171.50,1,7,25.0
723.48,0,2,6.5
957.72,1,6,15.0
1275.00,1,8,25.0
894.24,0,6,2.5
602.31,0,1,5.0
1003.86,0,7,12.5
1135.38,1,6,2.5
840.00,0,3,7.5
756.00,0,2,12.5
770.19,0,2,7.5
750.00,0,2,2.5
687.00,0,2,12.5
900.00,0,4,2.5
780.00,0,2,5.0
1427.91,1,7,25.0
1275.00,1,8,25.0
911.55,0,5,2.5
1174.02,1,7,2.5
709.65,0,2,9.0
1263.48,1,7,22.5
787.50,0,2,6.0
807.72,0,2,2.5
1338.48,1,7,25.0
807.69,0,4,11.0
1230.00,1,7,17.5
1024.29,0,7,2.5
588.48,0,1,5.5
905.79,0,5,4.0
1551.93,1,8,25.0
1176.93,1,5,25.0
801.93,0,2,6.0
612.00,0,1,2.5
1001.55,0,6,7.5
931.74,0,4,7.5
1190.79,1,7,7.5
729.72,0,4,0.5
1365.00,0,8,2.5
810.00,0,3,7.5
856.17,0,1,7.5
1269.24,1,7,17.5
624.00,0,2,4.0
865.41,0,4,2.5
697.86,0,1,4.5
1237.50,0,7,10.0
990.00,0,6,12.5
818.10,0,1,7.5
687.00,0,2,12.5
1067.31,0,7,7.5
729.72,1,4,2.5
1350.00,1,8,7.5
1384.62,1,8,25.0
866.85,0,5,7.5
1128.00,1,7,18.5
1081.74,0,6,25.0
1396.17,1,8,25.0
830.79,0,5,2.5
692.31,0,2,0.0
1130.76,1,7,22.5
836.55,0,3,0.5
735.00,0,2,2.5
1073.10,0,5,7.5
709.62,0,2,3.5
923.10,0,4,2.5
1200.00,0,6,4.5
894.00,1,4,7.5
804.00,0,2,7.5
590.19,0,1,4.0
913.86,0,6,2.5
588.48,0,1,5.0
780.00,0,5,2.5
623.10,0,1,1.5
717.00,0,1,3.5
761.55,0,4,3.5
1153.83,1,8,12.5
778.86,0,2,7.5
770.55,0,3,2.5
1350.00,1,8,7.5
1360.08,0,7,2.5
616.17,0,2,4.0
1427.91,1,8,25.0
812.73,1,5,7.5
739.62,1,5,2.5
634.62,0,2,1.0
817.26,0,5,2.5
713.10,0,2,7.5
951.93,0,6,7.5
1375.98,1,6,25.0
630.00,0,1,22.5
901.14,0,5,7.5
578.76,0,1,4.0
951.93,0,5,7.5
1125.00,1,6,2.5
663.48,0,2,2.5
1390.41,1,7,25.0
1038.48,0,7,3.5
720.00,0,2,1.0
960.00,1,7,22.5
755.76,0,2,11.5
597.12,0,1,4.5
623.10,0,2,2.5
756.00,0,2,12.5
804.00,1,1,17.5
1157.91,1,7,25.0
1148.10,0,7,12.5
1050.00,0,7,2.5
858.00,0,5,17.5
1003.86,1,6,12.5
1390.41,0,7,25.0
894.24,0,5,7.5
951.93,1,7,4.0
1200.00,1,7,2.5
842.31,0,3,2.5
1130.76,1,7,12.5
990.00,1,5,12.5
1073.10,0,7,17.5
690.00,0,2,3.5
960.60,0,5,25.0
761.55,0,2,4.0
1419.24,1,8,2.5
1257.72,1,7,25.0
900.00,0,3,7.5
804.00,1,3,7.5
1096.17,0,6,2.0
931.74,0,5,12.5
819.00,1,3,2.5
1055.76,0,7,12.5
764.43,0,3,2.5
1078.86,0,6,7.5
690.00,0,2,2.5
1182.72,1,6,2.5
836.55,0,5,1.0
928.86,0,5,2.5
835.11,0,5,7.5
886.17,0,3,7.5
805.86,1,5,2.5
928.86,0,6,2.5
1070.22,1,7,12.5
729.72,0,4,5.0
761.55,0,4,2.5
1052.88,0,7,2.5
1188.48,0,6,16.5
980.79,0,7,6.5
950.79,0,3,25.0
605.79,0,1,2.5
805.86,0,5,2.5
720.00,0,2,6.0
980.79,0,6,2.5
1038.45,0,7,12.5
